SERVICE_YEAR,IND_CODE,FIELD_NAME,SHORT_NAME
2024-25,ACC09,Total number of Registered Patients,Denominator
2024-25,ACC09,Number of referrals to the Community Pharmacist Consultation Service to patients in the denominator.,Numerator
2024-25,ACC15,Total number of Registered Patients.,Denominator
2024-25,ACC15,Number of times that patients in the denominator declined a referral to the Community Pharmacist Consultation Service.,Numerator
2024-25,CAN03,"Of the denominator, those where at least one urgent suspected cancer referral was accompanied by a faecal immunochemical test result, with the result recorded in the 21 days leading up to the referral. or in the fourteen days after the referral (inclusive).",Numerator
2024-25,CAN03,The number of patients who have had a lower gastrointestinal urgent suspected cancer referral in the reporting year,Denominator
2024-25,CAN03,FAECIMMDEC,FAECIMMDEC
2024-25,CAN03,FITNIDAT,FITNIDAT
2024-25,CAN03,GICANREF,GICANREF
2024-25,CAN04,The number of patients who have had a lower gastrointestinal urgent suspected cancer referral in the reporting year,Denominator
2024-25,CAN04,FAECIMMDEC,FAECIMMDEC
2024-25,CAN04,"Of the denominator, those where at least one urgent suspected cancer referral was accompanied by a faecal immunochemical test result, with the result recorded in the 21 days leading up to the referral.",Numerator
2024-25,CAN04,FITNIDAT,FITNIDAT
2024-25,CAN04,GICANREF,GICANREF
2024-25,CVD01,ABPDEC12M,ABPDEC12M
2024-25,CVD01,ABPDEC24M,ABPDEC24M
2024-25,CVD01,BPLAT_2,BPLAT_2
2024-25,CVD01,BPLAT6M,BPLAT6M
2024-25,CVD01,"Number of patients aged 18 years or over, not on the QOF Hypertension Register as of 31 March 2024, and who have (i) a last recorded blood pressure reading in the 4 years prior to 1 April 2024 >= 140/90mmHg with the exception of patients whose first blood pressure reading >= 140/90mmHg in this period is on or after 1 October 2023 OR (ii) a blood pressure reading >= 140/90mmHg on or after 1 October 2023.",Denominator
2024-25,CVD01,HYPLATUNR,HYPLATUNR
2024-25,CVD01,"Of the denominator, the number for whom there is evidence of clinically appropriate follow-up* to confirm or exclude a diagnosis of hypertension (by 31 March for (i) and within 6 months for (ii)). Clinically appropriate follow-up: 1. Initial BP reading < 140/90 mmHg (only relevant for patients in (i)) OR 2. Initial BP reading >=140/90 mmHg AND a. Subsequent change of medication AND subsequent blood pressure reading of <140/90 mmHg OR b. Subsequent occurrence of Ambulatory Blood Pressure Monitoring OR c. Subsequent occurrence of Home Blood Pressure Monitoring OR d. ([Referrals listed in below table] recorded on same day as initial reading AND addition to QOF Hypertension Register) OR e. (Subsequent commencement of Antihypertensive therapy OR Patient declined antihypertensive treatment (ANTIHYPDEC_COD code cluster)) AND addition to QOF Hypertension Register",Numerator
2024-25,CVD01,PALCARDAT2,PALCARDAT2
