AID,SERVICE_YEAR,QUALITY_SERVICE,Service,INDICATOR_ID,Ruleset,Care domain (CQRS short domain name),DPO_FLG,INDICATOR_TYPE,INDICATOR_ID,INDICATOR_DESCRIPTION,MEASURE_TYPE,MEASURE,MEASURE_DESCRIPTION,DPO,DPO_DESCRIPTION,DPO_BREAKDOWN,CQRS short code
tbc,2023-24,NCD,NCD,NCD003,Vaccination & Immunisation,NCD,0,FI,NCD003,Percentage of at-risk patients aged 18 to 64 years inclusive who received a seasonal influenza vaccination between 1 September and 31 March.,Exclusion,N_AT_RISK,N_AT_RISK,n/a,n/a,n/a,N_AT_RISK
tbc,2023-24,NCD,NCD,NCD003,Vaccination & Immunisation,NCD,0,FI,NCD003,Percentage of at-risk patients aged 18 to 64 years inclusive who received a seasonal influenza vaccination between 1 September and 31 March.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD004,Vaccination & Immunisation,NCD,0,FI,NCD004,Percentage of patients aged two or three years on 31 August of the relevant financial year who received a seasonal influenza vaccination between 1 September and 31 March.,PCA,FLUINVITE1,FLUINVITE1,n/a,n/a,n/a,FLUINVITE1
tbc,2023-24,NCD,NCD,NCD004,Vaccination & Immunisation,NCD,0,FI,NCD004,Percentage of patients aged two or three years on 31 August of the relevant financial year who received a seasonal influenza vaccination between 1 September and 31 March.,Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD011,Cardiovascular Disease Prevention,NCD,0,FI,NCD011,"Percentage of patients aged 18 years or over, not on the QOF Hypertension Register as of 31 March 2023, and who have (i) a last recorded blood pressure reading in the 3 years prior to 1 April 2023 >= 140/90mmHg (with the exception of patients whose first blood pressure reading >= 140/90mmHg in this period is on or after 1 October 2022) for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension by 31 March 2024 OR (ii) a blood pressure reading >= 140/90mmHg on or after 1 October 2022, for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension within 6 months of elevated reading.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD026,Access,NCD,0,FI,NCD026,Percentage of appointments where time from booking to appointment was two weeks or less,Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD111,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCD111,"Percentage of patients prescribed a direct-acting oral anticoagulant, who received a renal function test and a recording of their weight and Creatinine Clearance Rate, along with a change or confirmation of their medication dose.",Exclusion,L12MNODOAC,L12MNODOAC,n/a,n/a,n/a,L12MNODOAC
tbc,2023-24,NCD,NCD,NCD111,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCD111,"Percentage of patients prescribed a direct-acting oral anticoagulant, who received a renal function test and a recording of their weight and Creatinine Clearance Rate, along with a change or confirmation of their medication dose.",Denominator,Denominator,Denominator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD111,Structured Medication Reviews & Medicines Optimisation,NCD,0,FI,NCD111,"Percentage of patients prescribed a direct-acting oral anticoagulant, who received a renal function test and a recording of their weight and Creatinine Clearance Rate, along with a change or confirmation of their medication dose.",Numerator,Numerator,Numerator,n/a,n/a,n/a,n/a
tbc,2023-24,NCD,NCD,NCD117,Cardiovascular Disease Prevention,NCD,0,FI,NCD117,"Percentage of men aged 50 years or over and women aged 55 years or over, without established Cardiovascular Disease and not on lipid lowering therapy, who have a QRISK score recorded on their GP record in the preceding five years and who have a recording of cholesterol levels, blood pressure and smoking status in the 12 months preceding recording of the most recent QRISK score",Exclusion,PALCARE,PALCARE,n/a,n/a,n/a,PALCARE
