Indicator ID,Indicator Description,Ruleset ID,Payment or Management Information (MI)
NCD001,Percentage of registered patients referred to a social prescribing service.,Personalised Care,Payment
NCD002,"Percentage of patients aged 65 years or over, who received a seasonal influenza vaccination between 1 September and 31 March.",Vaccination & Immunisation,Payment
NCD003,Percentage of at-risk patients aged 18 to 64 years inclusive who received a seasonal influenza vaccination between 1 September and 31 March.,Vaccination & Immunisation,Payment
NCD004,Percentage of patients aged two or three years on 31 August of the relevant financial year who received a seasonal influenza vaccination between 1 September and 31 March.,Vaccination & Immunisation,Payment
NCD005,"Percentage of patients on the QOF Learning Disability register aged 14 years or over, who received an annual Learning Disability Health Check and a completed Health Action Plan.",Tackling Health Inequalities,Payment
NCD010,Percentage of registered patients with a recording of ethnicity.,Tackling Health Inequalities,Payment
NCD011,"Percentage of patients aged 18 years or over, not on the QOF Hypertension Register as of 31 March 2022, and who have (i) a last recorded blood pressure reading in the 2 years prior to 1 April 2022 >= 140/90mmHg for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension by 31 March 2023 OR (ii) a blood pressure reading >= 140/90mmHg on or after 1 April 2022, for whom there is evidence of clinically appropriate follow-up to confirm or exclude a diagnosis of hypertension within 6 months of elevated reading.",Cardiovascular Disease Prevention,Payment
NCD012,"Number of Patients recorded as living in a care home, as a percentage of care home beds eligible to receive the Network Contract DES Enhanced Health in Care Homes service.",Enhanced Health in Care Homes,Payment
NCD013,Mean number of patient contacts as part of weekly care home round per care home resident aged 18 years and over.,Enhanced Health in Care Homes,Payment
NCD014,Metered Dose Inhaler (MDI) prescriptions as a percentage of all non-salbutamol inhaler prescriptions issued to patients aged 12 years or over,Environmental Sustainability,Payment
NCD018,"Percentage of care home residents aged 18 years or over, who had a Personalised Care and Support Plan agreed or reviewed.",Enhanced Health in Care Homes,Payment
NCD019,"Percentage of permanent care home residents aged 18 years or over, who received a Structured Medication Review.",Structured Medication Reviews & Medicines Optimisation,Payment
NCD101,"Percentage of patients aged 25 and 84 years inclusive and with a last recorded CVD risk score (QRISK2 or 3) greater than 20 percent, who are currently treated with statins.",Cardiovascular Disease Prevention,Payment
NCD102,Percentage of patients aged 29 years or under with a total cholesterol greater than 7.5 OR aged 30 years or over with a total cholesterol greater than 9.0 who have been referred for assessment for familial hypercholesterolemia.,Cardiovascular Disease Prevention,Payment
NCD103,"Percentage of patients on the QOF Atrial Fibrillation register and with a CHA2DS2-VASc score 2 or more (1 or more for patients that are not female), who were prescribed a direct-acting oral anticoagulant (DOAC), or, where a DOAC was declined or clinically unsuitable, a Vitamin K antagonist.",Cardiovascular Disease Prevention,Payment
NCD104,"Number of patients that were prescribed Edoxaban, as a percentage of patients on the QOF Atrial Fibrillation register with a CHA2DS2-VASc score of 2 or more (1 or more for patients who are not female) and who were prescribed a direct-acting oral anticoagulant (DOAC)",Cardiovascular Disease Prevention,Payment
NCD105,"Percentage of patients on the QOF Asthma Register who received three or more inhaled corticosteroid (ICS, inclusive of ICS/LABA) prescriptions over the previous 12 months.",Respiratory Care,Payment
NCD106,Percentage of patients on the QOF asthma register who received 6 or more Short Acting Beta-2 Agonist (SABA) inhaler prescriptions over the previous 12 months.,Respiratory Care,Payment
NCD107,"Percentage of patients aged 18 years or over prescribed both a Non-Steroidal Anti-Inflammatory Drug (NSAID) and an oral anticoagulant in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an NSAID or (ii) prescribed a gastro-protective in addition to an NSAID.",Structured Medication Reviews & Medicines Optimisation,Payment
NCD108,"Percentage of patients aged 65 years or over prescribed a Non-Steroidal Anti-Inflammatory Drug (NSAID) and not an oral anticoagulant in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an NSAID or (ii) prescribed a gastro-protective in addition to an NSAID.",Structured Medication Reviews & Medicines Optimisation,Payment
NCD109,"Percentage of patients aged 18 years or over prescribed both an oral anticoagulant and an anti-platelet in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed an anti-platelet or (ii) prescribed a gastro-protective in addition to an anti-platelet.",Structured Medication Reviews & Medicines Optimisation,Payment
NCD110,"Percentage of patients aged 18 years or over prescribed aspirin and another anti-platelet in the last 3 months of the previous financial year, who, in the three months to the end of the reporting period, were either (i) no longer prescribed aspirin and/or no longer prescribed an anti-platelet or (ii) prescribed a gastro-protective in addition to both aspirin and another anti-platelet.",Structured Medication Reviews & Medicines Optimisation,Payment
NCD111,"Percentage of patients prescribed a direct-acting oral anti-coagulant, who received a renal function test and a recording of their weight and Creatinine Clearance Rate, along with a change or confirmation of their medication dose.",Structured Medication Reviews & Medicines Optimisation,Payment
NCD112,"Percentage of lower gastrointestinal two week wait (fast track) cancer referrals accompanied by a faecal immunochemical test result, with the result recorded either in the seven days leading up to the referral, or in the fourteen days after the referral",Cancer,Payment
NCD113,Number of referrals to the Community Pharmacist Consultation Service per registered patient,Access,Payment
NCD114,Percentage of patients at risk of harm due to medication errors who received a Structured Medication Review.,Structured Medication Reviews & Medicines Optimisation,Payment
NCD115,Percentage of patients living with severe frailty who received a Structured Medication Review.,Structured Medication Reviews & Medicines Optimisation,Payment
NCD116,Percentage of patients using potentially addictive medicines who received a Structured Medication Review.,Structured Medication Reviews & Medicines Optimisation,Payment
NCDMI001,Percentage of registered patients who had a Personalised Care and Support Plan agreed.,Personalised Care,MI
NCDMI002,Percentage of registered patients who had a Personalised Care and Support Plan reviewed.,Personalised Care,MI
NCDMI003,Percentage of registered patients whose care has been discussed as part of a shared decision-making process.,Personalised Care,MI
NCDMI004,Percentage of registered patients who chose not to accept a referral to a social prescribing service.,Personalised Care,MI
NCDMI010,"Percentage of permanent care home residents aged 18 years or over, and recorded as experiencing acute confusion, who received a delirium assessment.",Enhanced Health in Care Homes,MI
NCDMI021,"Percentage of patients aged 18 and over and prescribed an oral anti-coagulant, who were prescribed a Direct Oral Anti-Coagulant.",Structured Medication Reviews & Medicines Optimisation,MI
NCDMI023,Percentage of patients who were placed on an urgent referral pathway for suspected cancer.,Early Cancer Diagnosis,MI
NCDMI024,Percentage of patients placed on an urgent referral pathway for suspected cancer where safety netting was recorded.,Early Cancer Diagnosis,MI
NCDMI025,Percentage of patients in long stay residential or homes who received a seasonal influenza vaccination between 1 September and 31 March.,Vaccination & Immunisation,MI
NCDMI026,Percentage of patients on the Learning Disability register aged 18 years or over who received a seasonal influenza vaccination between 1 September and 31 March.,Vaccination & Immunisation,MI
NCDMI027,"Percentage of patients on the QOF Mental Health register for schizophrenia, bipolar affective disorder and other psychoses and either aged 65 years or over, or aged between 18 and 64 years inclusive and in a clinical at-risk group, who received a seasonal influenza vaccination between 1 September and 31 March.",Vaccination & Immunisation,MI
NCDMI028,Percentage of patients aged 14 years or over and on the QOF Learning Disability Register who received a Learning Disability Annual Health Check.,Tackling Health Inequalities,MI
NCDMI029,Percentage of registered patients who received a medication review from a Clinical Pharmacist.,Workforce,MI
NCDMI030,"Number of medication reviews undertaken by Clinical Pharmacists, per registered patient.",Workforce,MI
NCDMI031,"Number of care home visits undertaken by a Clinical Pharmacist, per registered patient.",Workforce,MI
NCDMI032,Percentage of care home residents who received a care home visit from a Clinical Pharmacist.,Workforce,MI
NCDMI033,"Number of consultations undertaken by Clinical Pharmacists, per registered patient.",Workforce,MI
NCDMI034,Percentage of registered patients seen at least once by a Clinical Pharmacist.,Workforce,MI
NCDMI035,"Number of consultations undertaken by a First Contact Physiotherapist, per registered patient.",Workforce,MI
NCDMI036,Percentage of registered patients seen at least once by a First Contact Physiotherapist.,Workforce,MI
NCDMI037,"Number of consultations undertaken by a Physician Associate, per registered patient.",Workforce,MI
NCDMI038,Percentage of registered patients seen at least once by a Physician Associate.,Workforce,MI
NCDMI039,"Number of consultations undertaken by a Health and Wellbeing Coach, per registered patient.",Workforce,MI
NCDMI040,Percentage of registered patients seen at least once by a Health and Wellbeing Coach.,Workforce,MI
